,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA
Date,,,,,,,,,,,,,,,,,,
2022-02-01,20.52345085144043,54.06999969482422,931.25,20.65999984741211,54.06999969482422,931.25,20.850000381469727,54.2400016784668,943.7000122070312,19.920000076293945,52.119998931884766,905.0,20.610000610351562,52.849998474121094,935.2100219726562,117651800,23169600,24379400
2022-02-02,20.493648529052734,53.5,905.6599731445312,20.6299991607666,53.5,905.6599731445312,21.049999237060547,55.54999923706055,931.5,20.18000030517578,51.68000030517578,889.4099731445312,20.809999465942383,54.91999816894531,928.1799926757812,95377600,34371700,22264300
2022-02-03,19.7585391998291,53.11000061035156,891.1400146484375,19.889999389648438,53.11000061035156,891.1400146484375,20.6200008392334,54.41999816894531,937.0,19.8700008392334,52.54999923706055,880.52001953125,20.170000076293945,52.599998474121094,882.0,103016000,23751800,26285200
2022-02-04,17.84129524230957,51.290000915527344,923.3200073242188,17.959999084472656,51.290000915527344,923.3200073242188,18.59000015258789,51.849998474121094,936.5,17.520000457763672,50.52000045776367,881.1699829101562,18.520000457763672,51.619998931884766,897.219970703125,211100500,22794900,24541800
2022-02-07,17.771757125854492,50.709999084472656,907.3400268554688,17.889999389648438,50.709999084472656,907.3400268554688,18.1200008392334,52.0,947.77001953125,17.700000762939453,50.52000045776367,902.7100219726562,17.729999542236328,51.4900016784668,923.7899780273438,84610000,18046500,20331500
2022-02-08,17.602880477905273,49.459999084472656,922.0,17.719999313354492,49.459999084472656,922.0,17.90999984741211,49.880001068115234,926.2899780273438,17.020000457763672,47.58000183105469,894.7999877929688,17.579999923706055,48.7400016784668,905.530029296875,142694300,38629700,16909700
2022-02-09,18.228717803955078,50.720001220703125,932.0,18.350000381469727,50.720001220703125,932.0,18.43000030517578,51.68000030517578,946.27001953125,18.030000686645508,50.15999984741211,920.0,18.270000457763672,50.310001373291016,935.0,87118600,24290800,17419800
2022-02-10,17.96050262451172,50.34000015258789,904.5499877929688,18.079999923706055,50.34000015258789,904.5499877929688,18.6299991607666,51.790000915527344,943.8099975585938,17.920000076293945,49.599998474121094,896.7000122070312,17.969999313354492,49.72999954223633,908.3699951171875,76195300,17017600,22042300
2022-02-11,17.434003829956055,48.83000183105469,860.0,17.549999237060547,48.83000183105469,860.0,18.360000610351562,50.970001220703125,915.9600219726562,17.420000076293945,48.540000915527344,850.7000122070312,18.100000381469727,50.63999938964844,909.6300048828125,94534100,20183800,26548600
2022-02-14,17.3445987701416,48.400001525878906,875.760009765625,17.459999084472656,48.400001525878906,875.760009765625,17.729999542236328,49.189998626708984,898.8800048828125,17.290000915527344,48.0,853.1500244140625,17.510000228881836,48.869998931884766,861.5700073242188,78625000,17549800,22585500
